Year,Reporting,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,TotalRecreationVisitors,TotalNonRecreationVisitors,TotalRecreationHours,TotalNonRecreationHours,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentCampers,TotalRVCampers,TotalBackcountry,TotalNonRecreationOvernightStays,TotalMiscellaneousOvernightStays
2008,360,274852949,161830991,1213734050,83305258,3589664,1224864,2956761,2012532,1797912,229867,2062873,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2009,360,285579941,160758738,1251683159,83744569,3490723,1310347,3184255,2150170,1860162,215923,2382723,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2010,363,281303769,153219048,1239426181,80497374,3418895,1277622,3277151,2256692,1763541,205875,2378753,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2011,367,278939216,152781223,1206505433,80752315,3310303,1209758,3229241,2155330,1715611,217608,2124784,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2012,367,282765682,149441180,1228318424,77197884,3297080,1255590,3203413,2121646,1816904,225239,2379712,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2013,370,273630895,156779302,1177422088,81872947,3095769,1221314,2993845,1976551,1722663,166842,2205845,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2014,370,292800082,168795640,1253175916,90708765,3395578,1263610,3246320,2053965,1888095,117223,2158475,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2015,372,307247252,173060681,1334248906,91746409,3385750,1421213,3680809,2260198,2020068,112259,2151446,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2016,376,330971689,172285627,1427664670,92895795,3272026,1294573,3858162,2543221,2154698,150982,2156818,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2017,379,330882751,172112736,1446970688,94678396,3437279,1447861,3734119,2460834,2074773,38752,1610127,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2018,379,318211833,170330751,1401420191,92456496,3106897,1354739,3539141,2474784,1922028,34612,1518566,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
2019,379,327516619,169448640,1429969885,92910278,3227317,1264154,3503369,2466682,1948831,34600,1415120,3821767010,2109280894,16665492131,1123035289,41117388,16780033,42289805,28392088,24120222,1780490,25452179
