California All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=emm_epm0_pte_sca_dpg&f=a
20:52:15 GMT-0700 (Mountain Standard Time)
Source: U.S. Energy Information Administration
Year,California All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
2020,3.132
2019,3.677
2018,3.551
2017,3.08
2016,2.782
2015,3.221
2014,3.794
2013,3.933
2012,4.081
2011,3.863
2010,3.138
2009,2.725
2008,3.561
2007,3.124
2006,2.855
2005,2.517
2004,2.166
2003,1.878
2002,1.561
2001,1.677
