Title,Bookmark
Annual Visitation and Record Year by Park (1904 - Last Calendar Year),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20and%20Record%20Year%20by%20Park%20(1904%20-%20Last%20Calendar%20Year)

RegionName,ParkName,ParkType,Year,TRV
Pacific West  Region,Great Basin NP,National Park,1934,"1,968"
Pacific West  Region,Great Basin NP,National Park,1935,"2,977"
Pacific West  Region,Great Basin NP,National Park,1936,"2,348"
Pacific West  Region,Great Basin NP,National Park,1937,"2,856"
Pacific West  Region,Great Basin NP,National Park,1938,"3,455"
Pacific West  Region,Great Basin NP,National Park,1939,"3,958"
Pacific West  Region,Great Basin NP,National Park,1940,"4,943"
Pacific West  Region,Great Basin NP,National Park,1941,"4,864"
Pacific West  Region,Great Basin NP,National Park,1942,"1,673"
Pacific West  Region,Great Basin NP,National Park,1943,"1,028"
Pacific West  Region,Great Basin NP,National Park,1944,872
Pacific West  Region,Great Basin NP,National Park,1945,"1,318"
Pacific West  Region,Great Basin NP,National Park,1946,"3,546"
Pacific West  Region,Great Basin NP,National Park,1947,"4,751"
Pacific West  Region,Great Basin NP,National Park,1948,"6,103"
Pacific West  Region,Great Basin NP,National Park,1949,"8,464"
Pacific West  Region,Great Basin NP,National Park,1950,"8,350"
Pacific West  Region,Great Basin NP,National Park,1951,"8,038"
Pacific West  Region,Great Basin NP,National Park,1952,"11,721"
Pacific West  Region,Great Basin NP,National Park,1953,"16,693"
Pacific West  Region,Great Basin NP,National Park,1954,"18,400"
Pacific West  Region,Great Basin NP,National Park,1955,"18,400"
Pacific West  Region,Great Basin NP,National Park,1956,"20,300"
Pacific West  Region,Great Basin NP,National Park,1957,"20,800"
Pacific West  Region,Great Basin NP,National Park,1958,"20,300"
Pacific West  Region,Great Basin NP,National Park,1959,"22,200"
Pacific West  Region,Great Basin NP,National Park,1960,"20,700"
Pacific West  Region,Great Basin NP,National Park,1961,"24,300"
Pacific West  Region,Great Basin NP,National Park,1962,"27,300"
Pacific West  Region,Great Basin NP,National Park,1963,"32,500"
Pacific West  Region,Great Basin NP,National Park,1964,"34,800"
Pacific West  Region,Great Basin NP,National Park,1965,"35,600"
Pacific West  Region,Great Basin NP,National Park,1966,"43,300"
Pacific West  Region,Great Basin NP,National Park,1967,"53,800"
Pacific West  Region,Great Basin NP,National Park,1968,"42,400"
Pacific West  Region,Great Basin NP,National Park,1969,"34,700"
Pacific West  Region,Great Basin NP,National Park,1970,"41,200"
Pacific West  Region,Great Basin NP,National Park,1971,"43,500"
Pacific West  Region,Great Basin NP,National Park,1972,"46,949"
Pacific West  Region,Great Basin NP,National Park,1973,"38,500"
Pacific West  Region,Great Basin NP,National Park,1974,"32,100"
Pacific West  Region,Great Basin NP,National Park,1975,"37,900"
Pacific West  Region,Great Basin NP,National Park,1976,"41,800"
Pacific West  Region,Great Basin NP,National Park,1977,"40,300"
Pacific West  Region,Great Basin NP,National Park,1978,"40,266"
Pacific West  Region,Great Basin NP,National Park,1979,"29,947"
Pacific West  Region,Great Basin NP,National Park,1980,"33,383"
Pacific West  Region,Great Basin NP,National Park,1981,"33,367"
Pacific West  Region,Great Basin NP,National Park,1982,"32,264"
Pacific West  Region,Great Basin NP,National Park,1983,"30,335"
Pacific West  Region,Great Basin NP,National Park,1984,"37,676"
Pacific West  Region,Great Basin NP,National Park,1985,"36,343"
Pacific West  Region,Great Basin NP,National Park,1986,"40,359"
Pacific West  Region,Great Basin NP,National Park,1987,"63,532"
Pacific West  Region,Great Basin NP,National Park,1988,"73,559"
Pacific West  Region,Great Basin NP,National Park,1989,"70,259"
Pacific West  Region,Great Basin NP,National Park,1990,"65,026"
Pacific West  Region,Great Basin NP,National Park,1991,"63,864"
Pacific West  Region,Great Basin NP,National Park,1992,"69,144"
Pacific West  Region,Great Basin NP,National Park,1993,"91,915"
Pacific West  Region,Great Basin NP,National Park,1994,"88,024"
Pacific West  Region,Great Basin NP,National Park,1995,"87,829"
Pacific West  Region,Great Basin NP,National Park,1996,"86,635"
Pacific West  Region,Great Basin NP,National Park,1997,"90,760"
Pacific West  Region,Great Basin NP,National Park,1998,"80,363"
Pacific West  Region,Great Basin NP,National Park,1999,"90,119"
Pacific West  Region,Great Basin NP,National Park,2000,"81,045"
Pacific West  Region,Great Basin NP,National Park,2001,"81,712"
Pacific West  Region,Great Basin NP,National Park,2002,"85,777"
Pacific West  Region,Great Basin NP,National Park,2003,"87,020"
Pacific West  Region,Great Basin NP,National Park,2004,"79,879"
Pacific West  Region,Great Basin NP,National Park,2005,"77,741"
Pacific West  Region,Great Basin NP,National Park,2006,"78,524"
Pacific West  Region,Great Basin NP,National Park,2007,"81,364"
Pacific West  Region,Great Basin NP,National Park,2008,"69,235"
Pacific West  Region,Great Basin NP,National Park,2009,"84,974"
Pacific West  Region,Great Basin NP,National Park,2010,"88,870"
Pacific West  Region,Great Basin NP,National Park,2011,"91,451"
Pacific West  Region,Great Basin NP,National Park,2012,"94,850"
Pacific West  Region,Great Basin NP,National Park,2013,"92,893"
Pacific West  Region,Great Basin NP,National Park,2014,"107,526"
Pacific West  Region,Great Basin NP,National Park,2015,"116,123"
Pacific West  Region,Great Basin NP,National Park,2016,"144,846"
Pacific West  Region,Great Basin NP,National Park,2017,"168,028"
Pacific West  Region,Great Basin NP,National Park,2018,"153,094"
Pacific West  Region,Great Basin NP,National Park,2019,"131,802"
Pacific West  Region,Great Basin NP,National Park,2020,"120,248"

