ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,TotalRecreationVisitors,TotalNonRecreationVisitors,TotalRecreationHours,TotalNonRecreationHours,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentCampers,TotalRVCampers,TotalBackcountry,TotalNonRecreationOvernightStays,TotalMiscellaneousOvernightStays
Abraham Lincoln Birthplace NHP,2008,200404,0,200404,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2009,221111,0,221111,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2010,177122,0,177122,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2011,163568,0,163568,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2012,169515,0,169515,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2013,163928,0,163928,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2014,241264,0,241264,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2015,148605,0,148605,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2016,252495,0,252495,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2017,269580,0,269580,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
Abraham Lincoln Birthplace NHP,2018,260964,0,260964,0,0,0,0,0,0,0,0,3584702678,1960844557,15610539591,1042766486,40027281,15545645,40406586,26932605,22685286,1749782,24545242
