Title,Bookmark
Annual Visitation and Record Year by Park (1904 - Last Calendar Year),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20and%20Record%20Year%20by%20Park%20(1904%20-%20Last%20Calendar%20Year)

RegionName,ParkName,ParkType,Year,TRV
Pacific West  Region,Yosemite NP,National Park,1906,"5,414"
Pacific West  Region,Yosemite NP,National Park,1907,"7,102"
Pacific West  Region,Yosemite NP,National Park,1908,"8,850"
Pacific West  Region,Yosemite NP,National Park,1909,"13,182"
Pacific West  Region,Yosemite NP,National Park,1910,"13,619"
Pacific West  Region,Yosemite NP,National Park,1911,"12,530"
Pacific West  Region,Yosemite NP,National Park,1912,"10,884"
Pacific West  Region,Yosemite NP,National Park,1913,"13,735"
Pacific West  Region,Yosemite NP,National Park,1914,"15,145"
Pacific West  Region,Yosemite NP,National Park,1915,"33,452"
Pacific West  Region,Yosemite NP,National Park,1916,"33,390"
Pacific West  Region,Yosemite NP,National Park,1917,"34,510"
Pacific West  Region,Yosemite NP,National Park,1918,"33,527"
Pacific West  Region,Yosemite NP,National Park,1919,"58,362"
Pacific West  Region,Yosemite NP,National Park,1920,"68,906"
Pacific West  Region,Yosemite NP,National Park,1921,"91,513"
Pacific West  Region,Yosemite NP,National Park,1922,"100,506"
Pacific West  Region,Yosemite NP,National Park,1923,"130,046"
Pacific West  Region,Yosemite NP,National Park,1924,"105,894"
Pacific West  Region,Yosemite NP,National Park,1925,"209,166"
Pacific West  Region,Yosemite NP,National Park,1926,"274,209"
Pacific West  Region,Yosemite NP,National Park,1927,"490,430"
Pacific West  Region,Yosemite NP,National Park,1928,"460,619"
Pacific West  Region,Yosemite NP,National Park,1929,"461,257"
Pacific West  Region,Yosemite NP,National Park,1930,"458,566"
Pacific West  Region,Yosemite NP,National Park,1931,"461,855"
Pacific West  Region,Yosemite NP,National Park,1932,"498,289"
Pacific West  Region,Yosemite NP,National Park,1933,"296,088"
Pacific West  Region,Yosemite NP,National Park,1934,"309,431"
Pacific West  Region,Yosemite NP,National Park,1935,"372,317"
Pacific West  Region,Yosemite NP,National Park,1936,"431,192"
Pacific West  Region,Yosemite NP,National Park,1937,"481,492"
Pacific West  Region,Yosemite NP,National Park,1938,"443,325"
Pacific West  Region,Yosemite NP,National Park,1939,"466,552"
Pacific West  Region,Yosemite NP,National Park,1940,"506,781"
Pacific West  Region,Yosemite NP,National Park,1941,"597,863"
Pacific West  Region,Yosemite NP,National Park,1942,"319,816"
Pacific West  Region,Yosemite NP,National Park,1943,"116,682"
Pacific West  Region,Yosemite NP,National Park,1944,"120,494"
Pacific West  Region,Yosemite NP,National Park,1945,"290,569"
Pacific West  Region,Yosemite NP,National Park,1946,"640,483"
Pacific West  Region,Yosemite NP,National Park,1947,"777,622"
Pacific West  Region,Yosemite NP,National Park,1948,"745,899"
Pacific West  Region,Yosemite NP,National Park,1949,"808,372"
Pacific West  Region,Yosemite NP,National Park,1950,"820,953"
Pacific West  Region,Yosemite NP,National Park,1951,"858,405"
Pacific West  Region,Yosemite NP,National Park,1952,"973,971"
Pacific West  Region,Yosemite NP,National Park,1953,"969,225"
Pacific West  Region,Yosemite NP,National Park,1954,"1,008,000"
Pacific West  Region,Yosemite NP,National Park,1955,"984,200"
Pacific West  Region,Yosemite NP,National Park,1956,"1,114,200"
Pacific West  Region,Yosemite NP,National Park,1957,"1,138,700"
Pacific West  Region,Yosemite NP,National Park,1958,"1,139,300"
Pacific West  Region,Yosemite NP,National Park,1959,"1,061,500"
Pacific West  Region,Yosemite NP,National Park,1960,"1,150,400"
Pacific West  Region,Yosemite NP,National Park,1961,"1,227,100"
Pacific West  Region,Yosemite NP,National Park,1962,"1,505,500"
Pacific West  Region,Yosemite NP,National Park,1963,"1,473,400"
Pacific West  Region,Yosemite NP,National Park,1964,"1,547,000"
Pacific West  Region,Yosemite NP,National Park,1965,"1,635,400"
Pacific West  Region,Yosemite NP,National Park,1966,"1,817,100"
Pacific West  Region,Yosemite NP,National Park,1967,"2,238,300"
Pacific West  Region,Yosemite NP,National Park,1968,"2,281,100"
Pacific West  Region,Yosemite NP,National Park,1969,"2,291,300"
Pacific West  Region,Yosemite NP,National Park,1970,"2,277,200"
Pacific West  Region,Yosemite NP,National Park,1971,"2,342,200"
Pacific West  Region,Yosemite NP,National Park,1972,"2,190,301"
Pacific West  Region,Yosemite NP,National Park,1973,"2,254,300"
Pacific West  Region,Yosemite NP,National Park,1974,"2,274,600"
Pacific West  Region,Yosemite NP,National Park,1975,"2,537,400"
Pacific West  Region,Yosemite NP,National Park,1976,"2,682,400"
Pacific West  Region,Yosemite NP,National Park,1977,"2,392,600"
Pacific West  Region,Yosemite NP,National Park,1978,"2,569,268"
